Scenario,Selected_model,LR_PR_AUC,RF_PR_AUC,Best_model_mean_PR_AUC,Approx_best_SE
Selected risk factors,Logistic Regression,0.1293836126778876,0.1189510177648343,0.1293836126778876,0.0070077994737965405
Selected + diagnostics,Logistic Regression,0.6993562226722737,0.6851947912465568,0.6993562226722737,0.03415453181610706
