Fold,Feature,Importance_mean,Importance_std
1,STDs:syphilis,3.762295686118855e-05,0.0004437099017635738
1,Dx:CIN,0.0,0.0
1,Hinselmann,-0.013180475039482772,0.017658462906255928
1,Schiller,0.27477342292177975,0.07938284810231543
1,Citology,-0.06731300130898968,0.038140975147770644
1,hormonal_contraceptives_missing,0.0035819050738618323,0.025484141492130772
2,STDs:syphilis,-0.002225868136668191,0.0119746513391719
2,Dx:CIN,1.4851485148514865e-05,3.535360608189533e-05
2,Hinselmann,-0.08363206173558527,0.025227755062138903
2,Schiller,0.3348489053489572,0.05325189217523593
2,Citology,-0.02335325318246103,0.019869785457548028
2,hormonal_contraceptives_missing,-0.0061094127425800615,0.02483415186041257
3,STDs:syphilis,-0.00032813733971912007,0.0017709459868677998
3,Dx:CIN,-0.00023048362528560462,0.0010505012426440974
3,Hinselmann,0.11575886963696366,0.027676305192228523
3,Schiller,0.49470501529288036,0.05772081994384478
3,Citology,0.19276562499999988,0.019495911780983064
3,hormonal_contraceptives_missing,0.011815215923697275,0.024932536845807856
4,STDs:syphilis,0.0,0.0
4,Dx:CIN,0.0,0.0
4,Hinselmann,0.11656249999999993,0.016568395177264425
4,Schiller,0.6616971887482789,0.08021927044063097
4,Citology,0.03321428571428574,0.03380805664153964
4,hormonal_contraceptives_missing,0.028241567460317456,0.02993932843763317
5,STDs:syphilis,0.15058673469387762,0.014170297755983115
5,Dx:CIN,0.0,0.0
5,Hinselmann,0.13317408781694506,0.045236836883107416
5,Schiller,0.5351149932307605,0.08263058515809381
5,Citology,0.0701360544217687,0.027811317619902538
5,hormonal_contraceptives_missing,0.02739409400123688,0.06195365747749188
