Metric,Mean,Std,Median,Min,Max
PR_AUC,0.12938361267788762,0.035038997368982784,0.12263198691422224,0.07385989874357957,0.1917364445431984
ROC_AUC,0.6125643989038485,0.09596146800935332,0.6496559633027523,0.39449541284403666,0.7470511140235911
Recall,0.43714285714285706,0.18134418735022717,0.5,0.125,0.75
Precision,0.10200130791624842,0.038814136298857625,0.1111111111111111,0.017857142857142856,0.16
F1,0.16088915394892872,0.06028881790173412,0.17142857142857143,0.031746031746031744,0.25
Balanced_accuracy,0.5722428213987847,0.09498687827235637,0.5951834862385321,0.3191349934469201,0.6893840104849279
MCC,0.08327899438448619,0.10124316423367095,0.10450741558676876,-0.17237614913572913,0.2193536539951087
