Outer_fold,Feature,Coefficient
1,STDs:syphilis,-0.6683696527194221
1,Dx:CIN,-0.11947647274355493
1,Hinselmann,0.28766025041793264
1,Schiller,1.318222222246449
1,Citology,0.5211499723822988
1,hormonal_contraceptives_missing,-0.6143811930850941
2,STDs:syphilis,-0.009797090052742142
2,Dx:CIN,0.04860741329052761
2,Hinselmann,0.132997441119085
2,Schiller,0.18716370537136126
2,Citology,0.07786753836127257
2,hormonal_contraceptives_missing,-0.02526436193100665
3,STDs:syphilis,-0.043412015135129885
3,Dx:CIN,0.2240453333957813
3,Hinselmann,0.27414150458477293
3,Schiller,0.6385455762389051
3,Citology,0.11223486111431327
3,hormonal_contraceptives_missing,-0.07318944948235664
4,STDs:syphilis,-1.0017850615729047
4,Dx:CIN,0.5313265559031889
4,Hinselmann,0.17210575880020665
4,Schiller,1.3501567537846755
4,Citology,0.5128634819923218
4,hormonal_contraceptives_missing,-1.4156461040740551
5,STDs:syphilis,-0.23828947868915376
5,Dx:CIN,0.5175068130241073
5,Hinselmann,0.2817735977032577
5,Schiller,1.2894832839967958
5,Citology,0.5177736184297645
5,hormonal_contraceptives_missing,-0.7409673376675654
6,STDs:syphilis,-0.06125122159082581
6,Dx:CIN,0.3264359628570068
6,Hinselmann,0.34222546799144266
6,Schiller,1.1376631184835893
6,Citology,0.4787585937869545
6,hormonal_contraceptives_missing,-0.16280449654547108
7,STDs:syphilis,-0.011371483885748712
7,Dx:CIN,0.04790064244252149
7,Hinselmann,0.10890909604301137
7,Schiller,0.18934869488802694
7,Citology,0.08233056131843024
7,hormonal_contraceptives_missing,-0.02805011622629346
8,STDs:syphilis,-0.2380293577454619
8,Dx:CIN,0.3046942023580361
8,Hinselmann,0.23729312607137598
8,Schiller,1.213968931069245
8,Citology,0.07928672522461744
8,hormonal_contraceptives_missing,-0.2387313389693516
9,STDs:syphilis,-0.0444802200735806
9,Dx:CIN,0.22138794218091606
9,Hinselmann,0.27619708254385344
9,Schiller,0.5946367031266655
9,Citology,0.2170991148524542
9,hormonal_contraceptives_missing,-0.08064602310956889
10,STDs:syphilis,-0.05182444508569602
10,Dx:CIN,0.21422731902994213
10,Hinselmann,0.3046213552450745
10,Schiller,0.5599063368714289
10,Citology,0.21429306033427772
10,hormonal_contraceptives_missing,-0.08665106884381295
11,STDs:syphilis,-0.20961739047357736
11,Dx:CIN,0.42611340353323657
11,Hinselmann,0.27894779658181823
11,Schiller,1.1494748303696207
11,Citology,0.45711399605973163
11,hormonal_contraceptives_missing,-0.15553682934978214
12,STDs:syphilis,-0.05141470190561513
12,Dx:CIN,0.21594733238166322
12,Hinselmann,0.24836807282986845
12,Schiller,0.5845511986965531
12,Citology,0.2161918527129292
12,hormonal_contraceptives_missing,-0.09239132410222615
13,STDs:syphilis,-0.02086550934022169
13,Dx:CIN,0.2268429267343299
13,Hinselmann,0.3194661284296475
13,Schiller,0.5853630476226688
13,Citology,0.18307061120091217
13,hormonal_contraceptives_missing,-0.06971092747323208
14,STDs:syphilis,-0.010475259929658823
14,Dx:CIN,-0.007292406071270304
14,Hinselmann,0.11521403962750444
