Metric,Mean,Std,Median,Min,Max
PR_AUC,0.11895101776483435,0.03431751039977248,0.12172672099142685,0.05454905513936452,0.18011693608514995
ROC_AUC,0.6045826879542475,0.09763765866667407,0.6159895150720839,0.33142201834862384,0.7581913499344691
Recall,0.3307142857142857,0.18330302779823357,0.2857142857142857,0.125,0.875
Precision,0.12259188554754841,0.060052891523285946,0.11538461538461539,0.04477611940298507,0.2857142857142857
F1,0.16145109299983218,0.058628684978067495,0.16,0.08,0.2727272727272727
Balanced_accuracy,0.5559476349338734,0.061699729992726035,0.5561926605504588,0.39392201834862384,0.6766233766233767
MCC,0.08403412308874422,0.08346790346929675,0.08049026783658897,-0.1082408221761821,0.21722829688590176
