Metric,Mean,Std,Median,Min,Max
PR_AUC,0.6993562226722737,0.17077265908053532,0.7108843537414966,0.44971869429590017,0.975
ROC_AUC,0.9435160252591446,0.06488674687459026,0.9787844036697247,0.7318181818181819,0.9988532110091743
Recall,0.905,0.09658981228232455,0.875,0.7142857142857143,1.0
Precision,0.545128316128316,0.09929232067791952,0.5384615384615384,0.4,0.8
F1,0.6754485972740112,0.08742561163682434,0.6666666666666666,0.5263157894736842,0.8888888888888888
Balanced_accuracy,0.9248536280233529,0.049113078710820594,0.9145642201834863,0.8253246753246753,0.9908256880733946
MCC,0.6742216498676917,0.0901450162511052,0.6585055710895417,0.5086359947340992,0.886183446537697
