Metric,Mean,Std,Median,Min,Max
PR_AUC,0.6851947912465568,0.1667332807519794,0.6618055555555555,0.45440587449933245,0.975
ROC_AUC,0.9434914809960682,0.053553661968951304,0.9384010484927916,0.7826834862385321,0.9988532110091743
Recall,0.8685714285714287,0.11167555046396042,0.875,0.7142857142857143,1.0
Precision,0.6270208157855217,0.11752454658591534,0.6153846153846154,0.4117647058823529,1.0
F1,0.7218629712221043,0.09534247018117503,0.7368421052631579,0.5263157894736842,0.9230769230769231
Balanced_accuracy,0.9150663648278327,0.0563639091535072,0.919151376146789,0.8253246753246753,0.9908256880733946
MCC,0.7133821407287738,0.1006840057767897,0.7249530131616218,0.5086359947340992,0.9216022186120482
