Model,PR-AUC,MCC,Recall,ROC-AUC
Dummy,0.065 ± 0.004,0.0 ± 0.0,0.0 ± 0.0,0.5 ± 0.0
Logistic Regression,0.704 ± 0.17,0.685 ± 0.098,0.9 ± 0.101,0.937 ± 0.07
Decision Tree,0.676 ± 0.183,0.668 ± 0.097,0.9 ± 0.101,0.928 ± 0.066
Random Forest,0.69 ± 0.173,0.678 ± 0.094,0.9 ± 0.101,0.923 ± 0.078
SVM,0.596 ± 0.177,0.666 ± 0.097,0.9 ± 0.101,0.936 ± 0.057
XGBoost,0.668 ± 0.178,0.673 ± 0.099,0.9 ± 0.101,0.93 ± 0.063
