Feature,Standardized_coefficient,Abs_coefficient
Schiller,0.21946918782773214,0.21946918782773214
Hinselmann,0.1382273903077607,0.1382273903077607
Citology,0.08803271502280181,0.08803271502280181
Dx:CIN,0.04870832372776205,0.04870832372776205
hormonal_contraceptives_missing,-0.029611906035852002,0.029611906035852002
STDs:syphilis,-0.012518730900195636,0.012518730900195636
